Amount_workers,Running_time,Data_size
1,44.783130407333374,1
2,36.99658131599426,1
3,26.224791288375854,1
4,29.9070885181427,1
5,27.086824655532837,1
1,86.84381532669067,2
2,51.1705687046051,2
3,47.22931981086731,2
4,42.51297116279602,2
5,38.91412544250488,2
1,168.09951519966125,4
2,112.9111430644989,4
3,78.43182611465454,4
4,59.571879386901855,4
5,58.045828104019165,4
1,251.5606451034546,6
2,139.27796339988708,6
3,98.76306009292603,6
4,83.68150615692139,6
5,90.73642754554749,6
